iter	Logloss
0	0.6739986431
1	0.6535070546
2	0.6256749419
3	0.6106968402
4	0.5935644009
5	0.5792190675
6	0.567951586
7	0.5553466874
8	0.5451738157
9	0.5319442985
10	0.5232024471
11	0.513157832
12	0.5036383179
13	0.4933634292
14	0.4850209813
15	0.4754930555
16	0.4699028198
17	0.4599417152
18	0.4468883908
19	0.4419141675
20	0.4341396869
21	0.4270963085
22	0.4212246955
23	0.4125700015
24	0.4061261501
25	0.4023073298
26	0.3986267426
27	0.3907396304
28	0.3866107453
29	0.3806503159
30	0.3726542661
31	0.3673199043
32	0.3610942986
33	0.3579354316
34	0.3549620061
35	0.3504149601
36	0.3462164342
37	0.3420182917
38	0.3369173587
39	0.3336822314
40	0.328389027
41	0.3250632736
42	0.3208849056
43	0.3179367524
44	0.3160733031
45	0.3142014043
46	0.311518706
47	0.3078673687
48	0.306497221
49	0.301925222
50	0.2994382207
51	0.2959792619
52	0.2933185302
53	0.2907252749
54	0.2871476511
55	0.2826673846
56	0.2755120005
57	0.2728193719
58	0.2694552441
59	0.2661652611
60	0.2633079634
61	0.2612691166
62	0.2578618035
63	0.2556392002
64	0.2517740775
65	0.246032185
66	0.2432325004
67	0.2405184837
68	0.2359796859
69	0.2332646119
70	0.2315284882
71	0.2286076875
72	0.2268520106
73	0.223396758
74	0.218876947
75	0.2151531488
76	0.2130039574
77	0.208643404
78	0.2055334381
79	0.203910172
80	0.2003762619
81	0.1975362568
82	0.1970775953
83	0.1924284786
84	0.1892415399
85	0.1849861202
86	0.1835406506
87	0.1806472835
88	0.1788311435
89	0.1748863249
90	0.1737957293
91	0.171858747
92	0.1695023469
93	0.1676612729
94	0.1644732931
95	0.1618298509
96	0.1613695173
97	0.1609242799
98	0.1604964384
99	0.1571989536
100	0.1538214054
101	0.1507557367
102	0.1485092014
103	0.1464258674
104	0.1439943876
105	0.1415320283
106	0.1382905505
107	0.1362858545
108	0.1358819428
109	0.1342133689
110	0.1331194337
111	0.1310288326
112	0.1285134486
113	0.1266215474
114	0.1254041163
115	0.1241759144
116	0.1223282092
117	0.1210079791
118	0.1199687253
119	0.1196774831
120	0.1187528745
121	0.1164708194
122	0.1139910399
123	0.1129767076
124	0.1118884393
125	0.1108031006
126	0.1090603889
127	0.1078077569
128	0.1060871078
129	0.1049188276
130	0.1039835916
131	0.1024119206
132	0.1013042478
133	0.1001334425
134	0.09885303191
135	0.09785665968
136	0.09628827074
137	0.09403937397
138	0.09276877766
139	0.09222701308
140	0.09089672957
141	0.08885115474
142	0.08779927047
143	0.08708383005
144	0.08649061118
145	0.0843451258
146	0.0831750521
147	0.08249264795
148	0.08186046223
149	0.08100787633
150	0.08089896601
151	0.07976146847
152	0.07914988639
153	0.07834326794
154	0.07787573338
155	0.07747885042
156	0.07669553436
157	0.07582140681
158	0.07513858454
159	0.07447420341
160	0.0733095105
161	0.07271448925
162	0.0716933649
163	0.07077388336
164	0.07003668315
165	0.06968650106
166	0.06895436102
167	0.06814311832
168	0.06725623359
169	0.06698728675
170	0.06683466007
171	0.06667934816
172	0.06613636408
173	0.06532202585
174	0.06519296418
175	0.06426263318
176	0.06348788667
177	0.06297032584
178	0.0626614318
179	0.06157770655
180	0.06092790917
181	0.0608494506
182	0.06046159766
183	0.05971444578
184	0.05953536389
185	0.05857101376
186	0.05788973196
187	0.05784746355
188	0.05696979423
189	0.05651862016
190	0.05575245921
191	0.05543479848
192	0.05450266831
193	0.0543381328
194	0.05399885284
195	0.0533206534
196	0.05277210705
197	0.0523988375
198	0.05231953059
199	0.05218083858
